distance_remaining,last_speed,last_accel,speed_trend,speed_variance,time_variance,avg_speed_overall,eta_actual,eta_physics,dt_interval_0,dt_interval_1,avg_speed_0,avg_speed_1,run_id
322,46.41,0.0,0.0005747126436780464,2.2222222222213377e-05,3.2399999999999896,46.501035196687354,7.0,6.93815987933635,10.5,6.900000000000006,46.19047619047619,46.81159420289851,0
322,49.98,0.0,-0.0006211180124226779,2.222222222224496e-05,2.7224999999999837,50.234374999999986,6.5,6.442577030812325,9.699999999999996,6.400000000000006,50.00000000000002,50.46874999999996,1
322,45.87,0.0,0.0011363636363634101,0.0002666666666666553,3.2400000000000024,45.94878706199461,7.000000000000007,7.019838674514934,10.600000000000001,7.0,45.75471698113207,46.142857142857146,2
322,45.58,0.0,-0.0011235955056181533,8.888888888891669e-05,3.2400000000000153,45.41003027510861,7.0,7.064501974550241,10.700000000000003,7.099999999999994,45.327102803738306,45.49295774647891,3
322,47.63,0.0,0.33480662983425424,6.229488888888892,4.202500000000003,44.918275418275414,6.599999999999994,6.760445097627545,11.100000000000001,7.0,43.69369369369369,46.142857142857146,4
322,46.38,0.0,0.3708994708994712,8.334022222222233,5.062499999999984,43.157051282051285,6.799999999999997,6.942647692971108,11.699999999999996,7.200000000000003,41.45299145299147,44.86111111111109,5
322,48.25,0.0,-0.0005952380952379769,0.0006888888888887884,2.8899999999999855,48.11437860203931,6.700000000000003,6.6735751295336785,10.099999999999994,6.700000000000003,48.01980198019805,48.20895522388058,6
322,48.55,0.0,0.002409638554216816,0.0004666666666666231,2.8899999999999975,48.71969696969697,6.699999999999996,6.632337796086509,10.0,6.600000000000001,48.5,48.93939393939393,7
322,47.89,0.0,-0.0005917159763312433,0.0001555555555555726,2.7225000000000072,47.75990099009901,6.700000000000003,6.723741908540405,10.100000000000001,6.799999999999997,48.01980198019801,47.50000000000002,8
322,46.06,0.0,-0.0017142857142857792,0.0010888888888888346,3.0625,46.16666666666667,7.0,6.990881458966565,10.5,7.0,46.19047619047619,46.142857142857146,9
322,46.57,0.0,0.34301075268817205,6.905755555555561,4.839999999999981,43.83343539497854,6.799999999999997,6.914322525230835,11.5,7.1000000000000085,42.17391304347826,45.492957746478815,10
322,49.96,0.0,0.0024691358024690837,0.0002666666666666553,2.5599999999999934,49.846153846153854,6.400000000000006,6.44515612489992,9.699999999999996,6.5,50.00000000000002,49.69230769230769,11
322,49.99,0.0,0.14233128834355832,1.190955555555553,2.7224999999999953,49.59105180533753,6.399999999999999,6.4412882576515305,9.799999999999997,6.5,49.48979591836736,49.69230769230769,12
322,47.85,0.0,-0.0005917159763312433,2.2222222222213377e-05,2.7225000000000072,47.75990099009901,6.700000000000003,6.729362591431557,10.100000000000001,6.799999999999997,48.01980198019801,47.50000000000002,13
322,49.16,0.0,0.0006097560975608544,6.666666666664015e-05,2.5599999999999934,49.21459492888064,6.600000000000001,6.550040683482506,9.799999999999997,6.600000000000001,49.48979591836736,48.93939393939393,14
322,40.89,0.0,0.27183098591549293,5.682688888888887,6.002499999999979,38.2065723328989,7.700000000000003,7.874786011249694,13.099999999999994,8.200000000000003,37.02290076335879,39.39024390243901,15
322,41.01,0.0,0.2252380952380951,3.7900666666666623,5.759999999999959,38.73672121734137,7.599999999999994,7.851743477200683,12.899999999999991,8.100000000000009,37.59689922480623,39.8765432098765,16
322,47.45,0.0,-0.0017647058823525902,0.0002888888888888529,2.8899999999999855,47.52450980392156,6.799999999999997,6.78609062170706,10.199999999999996,6.800000000000004,47.54901960784316,47.49999999999997,17
322,45.3,0.0,0.0011173184357539674,8.888888888885351e-05,3.0625,45.0941069574247,7.099999999999994,7.108167770419427,10.700000000000003,7.200000000000003,45.327102803738306,44.86111111111109,18
322,49.97,0.0,-0.0018518518518519217,0.0001555555555555726,2.5600000000000045,49.84615384615384,6.399999999999999,6.4438663197918755,9.700000000000003,6.5,49.999999999999986,49.69230769230769,19
322,49.99,0.0,0.0012345679012347613,0.0002666666666666553,2.5599999999999934,49.846153846153854,6.400000000000006,6.4412882576515305,9.699999999999996,6.5,50.00000000000002,49.69230769230769,20
322,45.11,0.0,-0.0027932960893853154,0.00042222222222216475,3.0625,45.0941069574247,7.099999999999994,7.138106849922412,10.700000000000003,7.200000000000003,45.327102803738306,44.86111111111109,21
322,49.98,0.0,0.0024844720496893877,0.0006222222222222588,2.7225000000000072,50.234375,6.5,6.442577030812325,9.700000000000003,6.399999999999999,49.999999999999986,50.468750000000014,22
322,49.98,0.0,-0.0006211180124226779,0.0001555555555555568,2.7225000000000072,50.234375,6.5,6.442577030812325,9.700000000000003,6.399999999999999,49.999999999999986,50.468750000000014,23
322,46.89,0.0,0.0011560693641620306,0.0002666666666666553,3.0625,46.723104793756974,6.899999999999999,6.867135849861378,10.399999999999999,6.899999999999999,46.634615384615394,46.81159420289856,24
322,45.78,0.0,0.002824858757062387,0.00042222222222229106,3.0625,45.623837363805464,7.0,7.033639143730887,10.600000000000001,7.100000000000001,45.75471698113207,45.492957746478865,25
322,49.86,0.0,0.0037037037037038435,0.0006222222222222904,2.5600000000000045,49.84615384615384,6.5,6.45808263136783,9.700000000000003,6.5,49.999999999999986,49.69230769230769,26
322,49.97,0.0,0.0006211180124222369,0.00015555555555557258,2.7224999999999953,50.234375000000014,6.5,6.4438663197918755,9.699999999999996,6.399999999999999,50.00000000000002,50.468750000000014,27
322,49.99,0.0,0.330769230769231,5.816688888888897,3.802499999999997,48.16346153846155,6.400000000000006,6.4412882576515305,10.399999999999999,6.5,46.634615384615394,49.69230769230769,28
322,49.92,0.0,0.13926380368098182,1.130155555555558,2.722500000000019,49.591051805337536,6.400000000000006,6.450320512820513,9.800000000000004,6.499999999999993,49.48979591836733,49.69230769230774,29
322,49.64,0.0,0.0006172839506171613,0.00015555555555549366,2.5599999999999934,49.846153846153854,6.5,6.486704270749396,9.699999999999996,6.5,50.00000000000002,49.69230769230769,30
322,49.92,0.0,-0.004320987654321006,0.0008666666666666533,2.5599999999999934,49.846153846153854,6.399999999999999,6.450320512820513,9.699999999999996,6.5,50.00000000000002,49.69230769230769,31
322,47.13,0.0,0.36810810810810823,7.852688888888893,4.622499999999963,44.01840869780082,6.599999999999994,6.832166348398047,11.399999999999991,7.1000000000000085,42.54385964912284,45.492957746478815,32
322,42.8,0.0,0.2487562189054727,4.236355555555556,5.522499999999973,40.53047758692921,7.400000000000006,7.5233644859813085,12.399999999999991,7.700000000000003,39.11290322580648,41.94805194805193,33
322,49.2,0.0,0.18975903614457873,2.1842000000000072,2.8900000000000095,48.71969696969699,6.6000000000000085,6.544715447154471,10.0,6.599999999999994,48.5,48.93939393939398,34
322,49.95,0.0,0.0006172839506175999,0.0001555555555555568,2.5599999999999934,49.846153846153854,6.400000000000006,6.446446446446446,9.699999999999996,6.5,50.00000000000002,49.69230769230769,35
322,49.99,0.0,0.0006172839506175997,6.666666666668751e-05,2.5600000000000045,49.84615384615384,6.399999999999999,6.4412882576515305,9.700000000000003,6.5,49.999999999999986,49.69230769230769,36
322,46.81,0.0,0.31304347826087,5.6206222222222335,4.410000000000006,44.2066558643899,6.700000000000003,6.878872035889767,11.299999999999997,7.099999999999994,42.920353982300895,45.49295774647891,37
322,46.36,0.0,-0.0005714285714284577,6.666666666668751e-05,3.0625,46.16666666666667,6.900000000000006,6.945642795513374,10.5,7.0,46.19047619047619,46.142857142857146,38
322,45.7,0.0,0.0011363636363638143,0.00015555555555557258,3.2399999999999896,45.94878706199462,7.100000000000001,7.045951859956236,10.599999999999994,7.0,45.7547169811321,46.142857142857146,39
322,49.41,0.0,0.003048780487804705,0.0005555555555554925,2.8899999999999975,49.34110334110335,6.5,6.516899413074277,9.899999999999999,6.5,48.989898989899,49.69230769230769,40
322,49.94,0.0,-0.0012345679012347606,0.0001555555555555726,2.5600000000000045,49.84615384615384,6.399999999999999,6.447737284741691,9.700000000000003,6.5,49.999999999999986,49.69230769230769,41
322,45.92,0.0,0.0011363636363638143,6.666666666668751e-05,3.2399999999999896,45.94878706199462,7.0,7.012195121951219,10.599999999999994,7.0,45.7547169811321,46.142857142857146,42
322,46.71,0.0,0.0,8.888888888891669e-05,3.0624999999999876,46.72310479375695,6.899999999999999,6.893598801113252,10.399999999999999,6.900000000000006,46.634615384615394,46.81159420289851,43
322,49.97,0.0,0.0,8.888888888891666e-05,2.7224999999999953,50.234375000000014,6.5,6.4438663197918755,9.699999999999996,6.399999999999999,50.00000000000002,50.468750000000014,44
322,49.95,0.0,-0.0012422360248444733,0.00015555555555549366,2.7225000000000072,50.234375,6.5,6.446446446446446,9.700000000000003,6.399999999999999,49.999999999999986,50.468750000000014,45
322,49.98,0.0,0.001851851851851484,0.0002888888888888529,2.5599999999999934,49.846153846153854,6.400000000000006,6.442577030812325,9.699999999999996,6.5,50.00000000000002,49.69230769230769,46
322,45.66,0.0,-0.0022598870056500715,0.00026666666666675005,3.0625000000000124,45.62383736380549,7.1000000000000085,7.052124397722296,10.600000000000001,7.099999999999994,45.75471698113207,45.49295774647891,47
322,49.98,0.0,0.0012422360248444733,0.0002666666666666553,2.7225000000000072,50.234375,6.5,6.442577030812325,9.700000000000003,6.399999999999999,49.999999999999986,50.468750000000014,48
322,49.94,0.0,0.0030864197530862452,0.0004666666666666231,2.5599999999999934,49.846153846153854,6.400000000000006,6.447737284741691,9.699999999999996,6.5,50.00000000000002,49.69230769230769,49
